<UNK> 1.0	SPN
adad 1.0	aa dd aa 
adad 1.0	aa dd aa tt 
adad 1.0	ɑ  d  ɑ  
adad 1.0	ɑ  d  ɑ  t  
adan 1.0	aa dd an 
adan 1.0	aa dd an nn 
adan 1.0	ɑ  d  ɑ̃  
adan 1.0	ɑ  d  ɑ̃  n  
adanadan 1.0	aa dd aa nn aa dd an 
adanadan 1.0	aa dd aa nn aa dd an nn 
adanadan 1.0	ɑ  d  ɑ  n  ɑ  d  ɑ̃  
adanadan 1.0	ɑ  d  ɑ  n  ɑ  d  ɑ̃  n  
adans 1.0	aa dd an 
adans 1.0	aa dd an zz 
adans 1.0	ɑ  d  ɑ̃  
adans 1.0	ɑ  d  ɑ̃  z  
adapté 1.0	aa dd aa pp tt ei 
adapté 1.0	ɑ  d  ɑ  p  t  e  
adaptés 1.0	aa dd aa pp tt ei 
adaptés 1.0	aa dd aa pp tt ei zz 
adaptés 1.0	ɑ  d  ɑ  p  t  e  
adaptés 1.0	ɑ  d  ɑ  p  t  e  z  
adapté-y 1.0	aa dd aa pp tt ei ii 
adapté-y 1.0	ɑ  d  ɑ  p  t  e  i  
adélya 1.0	aa dd ei ll yy aa 
adélya 1.0	ɑ  d  e  l  j  ɑ  
admettons 1.0	aa dd mm ai tt on 
admettons 1.0	aa dd mm ai tt on zz 
admettons 1.0	ɑ  d  m  ɛ  t  ɔ̃  
admettons 1.0	ɑ  d  m  ɛ  t  ɔ̃  z  
adopté-y 1.0	aa dd oo pp tt ei ii 
adopté-y 1.0	ɑ  d  ɔ  p  t  e  i  
adoré 1.0	aa dd oo rr ei 
adoré 1.0	ɑ  d  ɔ  ʁ  e  
adoumanman 1.0	aa dd ou mm an mm an 
adoumanman 1.0	aa dd ou mm an mm an nn 
adoumanman 1.0	ɑ  d  u  m  ɑ̃  m  ɑ̃  
adoumanman 1.0	ɑ  d  u  m  ɑ̃  m  ɑ̃  n  
adyé 1.0	aa dd yy ei 
adyé 1.0	ɑ  d  j  e  
afè 1.0	aa ff ai 
afè 1.0	ɑ  f  ɛ  
afrik 1.0	aa ff rr ii kk 
afrik 1.0	ɑ  f  ʁ  i  k  
afrikèn 1.0	aa ff rr ii kk ai nn 
afrikèn 1.0	ɑ  f  ʁ  i  k  ɛ  n  
agrèr 1.0	aa gg rr ai rr 
agrèr 1.0	ɑ  g  ʁ  ɛ  ʁ  
agrikiltè 1.0	aa gg rr ii kk ii ll tt ai 
agrikiltè 1.0	ɑ  g  ʁ  i  k  i  l  t  ɛ  
agrikilti 1.0	aa gg rr ii kk ii ll tt ii 
agrikilti 1.0	ɑ  g  ʁ  i  k  i  l  t  i  
a-i 1.0	aa ii 
a-i 1.0	ɑ  i  
à-i 1.0	aa ii 
à-i 1.0	ɑ  i  
aides 1.0	ai dd 
aides 1.0	ai dd zz 
aides 1.0	ɛ  d  
aides 1.0	ɛ  d  z  
aimer 1.0	ai mm ei 
aimer 1.0	ɛ  m  e  
ajouté 1.0	aa jj ou tt ei 
ajouté 1.0	ɑ  ʒ  u  t  e  
aka 1.0	aa kk aa 
aka 1.0	ɑ  k  ɑ  
-aki 1.0	aa kk ii 
-aki 1.0	ɑ  k  i  
ako 1.0	aa kk au 
ako 1.0	ɑ  k  o  
aksantyé 1.0	aa kk ss an tt yy ei 
aksantyé 1.0	ɑ  k  s  ɑ̃  t  j  e  
aksé 1.0	aa kk ss ei 
aksé 1.0	ɑ  k  s  e  
aksépté 1.0	aa kk ss ei pp tt ei 
aksépté 1.0	ɑ  k  s  e  p  t  e  
aksèpté 1.0	aa kk ss ai pp tt ei 
aksèpté 1.0	ɑ  k  s  ɛ  p  t  e  
aktivité 1.0	aa kk tt ii vv ii tt ei 
aktivité 1.0	ɑ  k  t  i  v  i  t  e  
aktyal 1.0	aa kk tt yy aa ll 
aktyal 1.0	ɑ  k  t  j  ɑ  l  
aktyèlman 1.0	aa kk tt yy ai ll mm an 
aktyèlman 1.0	aa kk tt yy ai ll mm an nn 
aktyèlman 1.0	ɑ  k  t  j  ɛ  l  m  ɑ̃  
aktyèlman 1.0	ɑ  k  t  j  ɛ  l  m  ɑ̃  n  
alantou 1.0	aa ll an tt ou 
alantou 1.0	ɑ  l  ɑ̃  t  u  
alarètrèt 1.0	aa ll aa rr ai tt rr ai 
alarètrèt 1.0	aa ll aa rr ai tt rr ai tt 
alarètrèt 1.0	ɑ  l  ɑ  ʁ  ɛ  t  ʁ  ɛ  
alarètrèt 1.0	ɑ  l  ɑ  ʁ  ɛ  t  ʁ  ɛ  t  
albè 1.0	aa ll bb ai 
albè 1.0	ɑ  l  b  ɛ  
ale 1.0	aa ll 
ale 1.0	ɑ  l  
alé 1.0	aa ll ei 
alé 1.0	ɑ  l  e  
alè 1.0	aa ll ai 
alè 1.0	ɑ  l  ɛ  
alèkilé 1.0	aa ll ai kk ii ll ei 
alèkilé 1.0	ɑ  l  ɛ  k  i  l  e  
alélouya 1.0	aa ll ei ll ou yy aa 
alélouya 1.0	ɑ  l  e  l  u  j  ɑ  
alentou 1.0	aa ll an tt ou 
alentou 1.0	ɑ  l  ɑ̃  t  u  
alèz 1.0	aa ll ai 
alèz 1.0	aa ll ai zz 
alèz 1.0	ɑ  l  ɛ  
alèz 1.0	ɑ  l  ɛ  z  
aliman 1.0	aa ll ii mm an 
aliman 1.0	aa ll ii mm an nn 
aliman 1.0	ɑ  l  i  m  ɑ̃  
aliman 1.0	ɑ  l  i  m  ɑ̃  n  
aller 1.0	aa ll ei 
aller 1.0	ɑ  l  e  
alo 1.0	aa ll au 
alo 1.0	ɑ  l  o  
alokasyon 1.0	aa ll oo kk aa zz yy on 
alokasyon 1.0	aa ll oo kk aa zz yy on nn 
alokasyon 1.0	ɑ  l  ɔ  k  ɑ  z  j  ɔ̃  
alokasyon 1.0	ɑ  l  ɔ  k  ɑ  z  j  ɔ̃  n  
alos 1.0	aa ll au 
alos 1.0	aa ll au zz 
alos 1.0	ɑ  l  o  
alos 1.0	ɑ  l  o  z  
aloss 1.0	aa ll oo ss 
aloss 1.0	ɑ  l  ɔ  s  
alosse 1.0	aa ll oo ss 
alosse 1.0	ɑ  l  ɔ  s  
alosss 1.0	aa ll oo ss 
alosss 1.0	ɑ  l  ɔ  s  
alyansman 1.0	aa ll yy an ss mm an 
alyansman 1.0	aa ll yy an ss mm an nn 
alyansman 1.0	ɑ  l  j  ɑ̃  s  m  ɑ̃  
alyansman 1.0	ɑ  l  j  ɑ̃  s  m  ɑ̃  n  
amé 1.0	aa mm ei 
amé 1.0	ɑ  m  e  
amérendyen 1.0	aa mm ei rr an dd yy in 
amérendyen 1.0	aa mm ei rr an dd yy in nn 
amérendyen 1.0	ɑ  m  e  ʁ  ɑ̃  d  j  ɛ̃  
amérendyen 1.0	ɑ  m  e  ʁ  ɑ̃  d  j  ɛ̃  n  
amisman 1.0	aa mm ii ss mm an 
amisman 1.0	aa mm ii ss mm an nn 
amisman 1.0	ɑ  m  i  s  m  ɑ̃  
amisman 1.0	ɑ  m  i  s  m  ɑ̃  n  
amizé 1.0	aa mm ii zz ei 
amizé 1.0	ɑ  m  i  z  e  
amizman 1.0	aa mm ii zz mm an 
amizman 1.0	aa mm ii zz mm an nn 
amizman 1.0	ɑ  m  i  z  m  ɑ̃  
amizman 1.0	ɑ  m  i  z  m  ɑ̃  n  
amoni 1.0	aa mm oo nn ii 
amoni 1.0	ɑ  m  ɔ  n  i  
amoué 1.0	aa mm ou ei 
amoué 1.0	ɑ  m  u  e  
-an 1.0	an 
-an 1.0	an nn 
-an 1.0	ɑ̃  
-an 1.0	ɑ̃  n  
an 1.0	an 
an 1.0	an nn 
an 1.0	ɑ̃  
an 1.0	ɑ̃  n  
anan 1.0	aa nn an 
anan 1.0	aa nn an nn 
anan 1.0	ɑ  n  ɑ̃  
anan 1.0	ɑ  n  ɑ̃  n  
ananvè 1.0	aa nn an vv ai 
ananvè 1.0	ɑ  n  ɑ̃  v  ɛ  
ananvlop 1.0	aa nn an vv ll au 
ananvlop 1.0	aa nn an vv ll au pp 
ananvlop 1.0	ɑ  n  ɑ̃  v  l  o  
ananvlop 1.0	ɑ  n  ɑ̃  v  l  o  p  
anba 1.0	an bb aa 
anba 1.0	ɑ̃  b  ɑ  
anbenn 1.0	an bb an nn 
anbenn 1.0	ɑ̃  b  ɑ̃  n  
ancien 1.0	an ss yy in 
ancien 1.0	an ss yy in nn 
ancien 1.0	ɑ̃  s  j  ɛ̃  
ancien 1.0	ɑ̃  s  j  ɛ̃  n  
and 1.0	ai nn dd 
and 1.0	ai nn dd tt 
and 1.0	ɛ  n  d  
and 1.0	ɛ  n  d  t  
andanjé 1.0	an dd an jj ei 
andanjé 1.0	ɑ̃  d  ɑ̃  ʒ  e  
andéwo 1.0	an dd ei ww au 
andéwo 1.0	ɑ̃  d  e  w  o  
andèwo 1.0	an dd ai ww au 
andèwo 1.0	ɑ̃  d  ɛ  w  o  
andidan 1.0	an dd ii dd an 
andidan 1.0	an dd ii dd an nn 
andidan 1.0	ɑ̃  d  i  d  ɑ̃  
andidan 1.0	ɑ̃  d  i  d  ɑ̃  n  
andwa 1.0	an dd ww aa 
andwa 1.0	ɑ̃  d  w  ɑ  
anfas 1.0	an ff aa 
anfas 1.0	an ff aa zz 
anfas 1.0	ɑ̃  f  ɑ  
anfas 1.0	ɑ̃  f  ɑ  z  
anfen 1.0	an ff ai nn 
anfen 1.0	ɑ̃  f  ɛ  n  
anfèt 1.0	an ff ai 
anfèt 1.0	an ff ai tt 
anfèt 1.0	ɑ̃  f  ɛ  
anfèt 1.0	ɑ̃  f  ɛ  t  
anfinaldikont 1.0	an ff ii nn aa ll dd ii kk on 
anfinaldikont 1.0	an ff ii nn aa ll dd ii kk on tt 
anfinaldikont 1.0	ɑ̃  f  i  n  ɑ  l  d  i  k  ɔ̃  
anfinaldikont 1.0	ɑ̃  f  i  n  ɑ  l  d  i  k  ɔ̃  t  
angiya 1.0	an jj ii yy aa 
angiya 1.0	ɑ̃  ʒ  i  j  ɑ  
anglé 1.0	an gg ll ei 
anglé 1.0	ɑ̃  g  l  e  
anglofon 1.0	an gg ll oo ff on 
anglofon 1.0	an gg ll oo ff on nn 
anglofon 1.0	ɑ̃  g  l  ɔ  f  ɔ̃  
anglofon 1.0	ɑ̃  g  l  ɔ  f  ɔ̃  n  
anglophones 1.0	an gg ll oo ff oo nn 
anglophones 1.0	an gg ll oo ff oo nn zz 
anglophones 1.0	ɑ̃  g  l  ɔ  f  ɔ  n  
anglophones 1.0	ɑ̃  g  l  ɔ  f  ɔ  n  z  
angrè 1.0	an gg rr ai 
angrè 1.0	ɑ̃  g  ʁ  ɛ  
anivèsè 1.0	aa nn ii vv ai zz ai 
anivèsè 1.0	ɑ  n  i  v  ɛ  z  ɛ  
anka 1.0	an kk aa 
anka 1.0	ɑ̃  k  ɑ  
ankaz 1.0	an kk aa 
ankaz 1.0	an kk aa zz 
ankaz 1.0	ɑ̃  k  ɑ  
ankaz 1.0	ɑ̃  k  ɑ  z  
anki 1.0	an kk ii 
anki 1.0	ɑ̃  k  i  
anklav 1.0	an kk ll aa vv 
anklav 1.0	ɑ̃  k  l  ɑ  v  
anko 1.0	an kk au 
anko 1.0	ɑ̃  k  o  
anlè 1.0	an ll ai 
anlè 1.0	ɑ̃  l  ɛ  
anlè-la 1.0	an ll ai ll aa 
anlè-la 1.0	ɑ̃  l  ɛ  l  ɑ  
anlo 1.0	an ll au 
anlo 1.0	ɑ̃  l  o  
anman 1.0	an mm an 
anman 1.0	an mm an nn 
anman 1.0	ɑ̃  m  ɑ̃  
anman 1.0	ɑ̃  m  ɑ̃  n  
anmèm 1.0	an mm ai mm 
anmèm 1.0	ɑ̃  m  ɛ  m  
anmèwdé-w 1.0	an mm ai ww dd ei dd ou bb ll ee vv ei 
anmèwdé-w 1.0	an mm ai ww dd ei dd ou bb ll vv ei 
anmèwdé-w 1.0	ɑ̃  m  ɛ  w  d  e  d  u  b  l  ə  v  e  
anmèwdé-w 1.0	ɑ̃  m  ɛ  w  d  e  d  u  b  l  v  e  
an-mwen 1.0	an mm ww ai nn 
an-mwen 1.0	ɑ̃  m  w  ɛ  n  
ann 1.0	an nn 
ann 1.0	ɑ̃  n  
anni 1.0	aa nn ii 
anni 1.0	ɑ  n  i  
anniversaire 1.0	aa nn ii vv ai rr ss ai rr 
anniversaire 1.0	ɑ  n  i  v  ɛ  ʁ  s  ɛ  ʁ  
ano 1.0	aa nn au 
ano 1.0	ɑ  n  o  
anon 1.0	aa nn on 
anon 1.0	aa nn on nn 
anon 1.0	ɑ  n  ɔ̃  
anon 1.0	ɑ  n  ɔ̃  n  
anonsé 1.0	aa nn on ss ei 
anonsé 1.0	ɑ  n  ɔ̃  s  e  
anparfèt 1.0	an pp aa rr ff ai 
anparfèt 1.0	an pp aa rr ff ai tt 
anparfèt 1.0	ɑ̃  p  ɑ  ʁ  f  ɛ  
anparfèt 1.0	ɑ̃  p  ɑ  ʁ  f  ɛ  t  
anpil 1.0	an pp ii ll 
anpil 1.0	ɑ̃  p  i  l  
anpizé 1.0	an pp ii zz ei 
anpizé 1.0	ɑ̃  p  i  z  e  
anplis 1.0	an pp ll ii 
anplis 1.0	an pp ll ii zz 
anplis 1.0	ɑ̃  p  l  i  
anplis 1.0	ɑ̃  p  l  i  z  
anplwayé 1.0	an pp ll ww ei yy ei 
anplwayé 1.0	ɑ̃  p  l  w  e  j  e  
anplwayé-la 1.0	an pp ll ww ei yy ei ll aa 
anplwayé-la 1.0	ɑ̃  p  l  w  e  j  e  l  ɑ  
anrajé 1.0	an rr aa jj ei 
anrajé 1.0	ɑ̃  ʁ  ɑ  ʒ  e  
anri 1.0	an rr ii 
anri 1.0	ɑ̃  ʁ  i  
anrichi 1.0	an rr ii ch ii 
anrichi 1.0	ɑ̃  ʁ  i  ʃ  i  
ansalézon 1.0	an ss aa ll ei zz on 
ansalézon 1.0	an ss aa ll ei zz on nn 
ansalézon 1.0	ɑ̃  s  ɑ  l  e  z  ɔ̃  
ansalézon 1.0	ɑ̃  s  ɑ  l  e  z  ɔ̃  n  
ansanm 1.0	an ss an mm 
ansanm 1.0	ɑ̃  s  ɑ̃  m  
ansémoman 1.0	an ss ei mm oo mm an 
ansémoman 1.0	an ss ei mm oo mm an nn 
ansémoman 1.0	ɑ̃  s  e  m  ɔ  m  ɑ̃  
ansémoman 1.0	ɑ̃  s  e  m  ɔ  m  ɑ̃  n  
ansèt 1.0	an ss ai 
ansèt 1.0	an ss ai tt 
ansèt 1.0	ɑ̃  s  ɛ  
ansèt 1.0	ɑ̃  s  ɛ  t  
ansomur 1.0	an ss oo mm uu rr 
ansomur 1.0	ɑ̃  s  ɔ  m  y  ʁ  
ansot 1.0	an ss au 
ansot 1.0	an ss au tt 
ansot 1.0	ɑ̃  s  o  
ansot 1.0	ɑ̃  s  o  t  
ansuit 1.0	an ss uy ii 
ansuit 1.0	an ss uy ii tt 
ansuit 1.0	ɑ̃  s  ɥ  i  
ansuit 1.0	ɑ̃  s  ɥ  i  t  
ansyen 1.0	an ss yy in 
ansyen 1.0	an ss yy in nn 
ansyen 1.0	ɑ̃  s  j  ɛ̃  
ansyen 1.0	ɑ̃  s  j  ɛ̃  n  
antan 1.0	an tt an 
antan 1.0	an tt an nn 
antan 1.0	ɑ̃  t  ɑ̃  
antan 1.0	ɑ̃  t  ɑ̃  n  
antann 1.0	an tt an nn 
antann 1.0	ɑ̃  t  ɑ̃  n  
antig 1.0	an tt ii gg 
antig 1.0	an tt ii gg kk 
antig 1.0	ɑ̃  t  i  g  
antig 1.0	ɑ̃  t  i  g  k  
antil 1.0	an tt ii 
antil 1.0	ɑ̃  t  i  
antillais 1.0	an tt ii yy ai 
antillais 1.0	an tt ii yy ai zz 
antillais 1.0	ɑ̃  t  i  j  ɛ  
antillais 1.0	ɑ̃  t  i  j  ɛ  z  
antiyèz 1.0	an tt ii yy ai 
antiyèz 1.0	an tt ii yy ai zz 
antiyèz 1.0	ɑ̃  t  i  j  ɛ  
antiyèz 1.0	ɑ̃  t  i  j  ɛ  z  
antouléka 1.0	an tt ou ll ei kk aa 
antouléka 1.0	ɑ̃  t  u  l  e  k  ɑ  
antré 1.0	an tt rr ei 
antré 1.0	ɑ̃  t  ʁ  e  
antrè 1.0	an tt rr ai 
antrè 1.0	ɑ̃  t  ʁ  ɛ  
anvi 1.0	an vv ii 
anvi 1.0	ɑ̃  v  i  
anvlop 1.0	an vv ll au 
anvlop 1.0	an vv ll au pp 
anvlop 1.0	ɑ̃  v  l  o  
anvlop 1.0	ɑ̃  v  l  o  p  
a-ou 1.0	aa ou 
a-ou 1.0	ɑ  u  
apa 1.0	aa pp aa 
apa 1.0	ɑ  p  ɑ  
apar 1.0	aa pp aa rr 
apar 1.0	ɑ  p  ɑ  ʁ  
aparamman 1.0	aa pp aa rr aa mm an 
aparamman 1.0	aa pp aa rr aa mm an nn 
aparamman 1.0	ɑ  p  ɑ  ʁ  ɑ  m  ɑ̃  
aparamman 1.0	ɑ  p  ɑ  ʁ  ɑ  m  ɑ̃  n  
apati 1.0	aa pp aa tt ii 
apati 1.0	ɑ  p  ɑ  t  i  
apennsi 1.0	aa pp an nn ss ii 
apennsi 1.0	ɑ  p  ɑ̃  n  s  i  
apéprè 1.0	aa pp ei pp rr ai 
apéprè 1.0	ɑ  p  e  p  ʁ  ɛ  
apiyé 1.0	aa pp ii yy ei 
apiyé 1.0	ɑ  p  i  j  e  
apo 1.0	aa pp au 
apo 1.0	ɑ  p  o  
apoué 1.0	aa pp ou ei 
apoué 1.0	ɑ  p  u  e  
aprann 1.0	aa pp rr an nn 
aprann 1.0	ɑ  p  ʁ  ɑ̃  n  
apré 1.0	aa pp rr ei 
apré 1.0	ɑ  p  ʁ  e  
apré- 1.0	aa pp rr ei 
apré- 1.0	ɑ  p  ʁ  e  
aprè 1.0	aa pp rr ai 
aprè 1.0	ɑ  p  ʁ  ɛ  
apréprè 1.0	aa pp rr ei pp rr ai 
apréprè 1.0	ɑ  p  ʁ  e  p  ʁ  ɛ  
après 1.0	aa pp rr ai 
après 1.0	aa pp rr ai zz 
après 1.0	ɑ  p  ʁ  ɛ  
après 1.0	ɑ  p  ʁ  ɛ  z  
aprésa 1.0	aa pp rr ei zz aa 
aprésa 1.0	ɑ  p  ʁ  e  z  ɑ  
aprézan 1.0	aa pp rr ei zz an 
aprézan 1.0	aa pp rr ei zz an nn 
aprézan 1.0	ɑ  p  ʁ  e  z  ɑ̃  
aprézan 1.0	ɑ  p  ʁ  e  z  ɑ̃  n  
aprèzan 1.0	aa pp rr ai zz an 
aprèzan 1.0	aa pp rr ai zz an nn 
aprèzan 1.0	ɑ  p  ʁ  ɛ  z  ɑ̃  
aprèzan 1.0	ɑ  p  ʁ  ɛ  z  ɑ̃  n  
apwé 1.0	aa pp ww ei 
apwé 1.0	ɑ  p  w  e  
apwézan 1.0	aa pp ww ei zz an 
apwézan 1.0	aa pp ww ei zz an nn 
apwézan 1.0	ɑ  p  w  e  z  ɑ̃  
apwézan 1.0	ɑ  p  w  e  z  ɑ̃  n  
ara 1.0	aa rr aa 
ara 1.0	ɑ  ʁ  ɑ  
arecaceae 1.0	aa rr ee kk aa ss ai 
arecaceae 1.0	aa rr kk aa ss ai 
arecaceae 1.0	ɑ  ʁ  ə  k  ɑ  s  ɛ  
arecaceae 1.0	ɑ  ʁ  k  ɑ  s  ɛ  
arèsté 1.0	aa rr ai ss tt ei 
arèsté 1.0	ɑ  ʁ  ɛ  s  t  e  
arété 1.0	aa rr ei tt ei 
arété 1.0	ɑ  ʁ  e  t  e  
arivé 1.0	aa rr ii vv ei 
arivé 1.0	ɑ  ʁ  i  v  e  
asé 1.0	aa ss ei 
asé 1.0	ɑ  s  e  
aséfyé 1.0	aa ss ei ff yy ei 
aséfyé 1.0	ɑ  s  e  f  j  e  
asérola 1.0	aa ss ei rr oo ll aa 
asérola 1.0	ɑ  s  e  ʁ  ɔ  l  ɑ  
asèzoné 1.0	aa ss ai zz oo nn ei 
asèzoné 1.0	ɑ  s  ɛ  z  ɔ  n  e  
asezonman 1.0	aa ss ee zz on mm an 
asezonman 1.0	aa ss ee zz on mm an nn 
asezonman 1.0	aa ss zz on mm an 
asezonman 1.0	aa ss zz on mm an nn 
asezonman 1.0	ɑ  s  ə  z  ɔ̃  m  ɑ̃  
asezonman 1.0	ɑ  s  ə  z  ɔ̃  m  ɑ̃  n  
asezonman 1.0	ɑ  s  z  ɔ̃  m  ɑ̃  
asezonman 1.0	ɑ  s  z  ɔ̃  m  ɑ̃  n  
asézonman 1.0	aa ss ei zz on mm an 
asézonman 1.0	aa ss ei zz on mm an nn 
asézonman 1.0	ɑ  s  e  z  ɔ̃  m  ɑ̃  
asézonman 1.0	ɑ  s  e  z  ɔ̃  m  ɑ̃  n  
asi 1.0	aa ss ii 
asi 1.0	ɑ  s  i  
asosyasyon 1.0	aa ss oo zz yy aa zz yy on 
asosyasyon 1.0	aa ss oo zz yy aa zz yy on nn 
asosyasyon 1.0	ɑ  s  ɔ  z  j  ɑ  z  j  ɔ̃  
asosyasyon 1.0	ɑ  s  ɔ  z  j  ɑ  z  j  ɔ̃  n  
assi 1.0	aa ss ii 
assi 1.0	ɑ  s  i  
atan 1.0	aa tt an 
atan 1.0	aa tt an nn 
atan 1.0	ɑ  t  ɑ̃  
atan 1.0	ɑ  t  ɑ̃  n  
atandan 1.0	aa tt an dd an 
atandan 1.0	aa tt an dd an nn 
atandan 1.0	ɑ  t  ɑ̃  d  ɑ̃  
atandan 1.0	ɑ  t  ɑ̃  d  ɑ̃  n  
atann 1.0	aa tt an nn 
atann 1.0	ɑ  t  ɑ̃  n  
atè 1.0	aa tt ai 
atè 1.0	ɑ  t  ɛ  
atitid 1.0	aa tt ii tt ii 
atitid 1.0	aa tt ii tt ii tt 
atitid 1.0	ɑ  t  i  t  i  
atitid 1.0	ɑ  t  i  t  i  t  
atristé 1.0	aa tt rr ii ss tt ei 
atristé 1.0	ɑ  t  ʁ  i  s  t  e  
au 1.0	au 
au 1.0	o  
aussi 1.0	au ss ii 
aussi 1.0	o  s  i  
autour 1.0	au tt ou rr 
autour 1.0	o  t  u  ʁ  
autre 1.0	au tt rr 
autre 1.0	au tt rr ee 
autre 1.0	o  t  ʁ  
autre 1.0	o  t  ʁ  ə  
aux 1.0	au 
aux 1.0	au zz 
aux 1.0	o  
aux 1.0	o  z  
avan 1.0	aa vv an 
avan 1.0	aa vv an nn 
avan 1.0	ɑ  v  ɑ̃  
avan 1.0	ɑ  v  ɑ̃  n  
avansé 1.0	aa vv an ss ei 
avansé 1.0	ɑ  v  ɑ̃  s  e  
avè 1.0	aa vv ai 
avè 1.0	ɑ  v  ɛ  
avec 1.0	aa vv ai kk 
avec 1.0	ɑ  v  ɛ  k  
avèk 1.0	aa vv ai kk 
avèk 1.0	ɑ  v  ɛ  k  
a'w 1.0	aa ww 
a'w 1.0	ɑ  w  
a-w 1.0	aa dd ou bb ll ee vv ei 
a-w 1.0	aa dd ou bb ll vv ei 
a-w 1.0	ɑ  d  u  b  l  ə  v  e  
a-w 1.0	ɑ  d  u  b  l  v  e  
a’w 1.0	aa 
a’w 1.0	ɑ  
aw 1.0	aa ww 
aw 1.0	ɑ  w  
awa 1.0	aa ww aa 
awa 1.0	ɑ  w  ɑ  
a'y 1.0	aa ii 
a'y 1.0	ɑ  i  
a-y 1.0	aa ii 
a-y 1.0	ɑ  i  
a’y 1.0	aa 
a’y 1.0	ɑ  
ay 1.0	aa ii 
ay 1.0	ɑ  i  
ayay 1.0	ai yy aa ii 
ayay 1.0	ɛ  j  ɑ  i  
ayè 1.0	ai yy ai 
ayè 1.0	ɛ  j  ɛ  
ayen 1.0	ai yy in 
ayen 1.0	ai yy in nn 
ayen 1.0	ɛ  j  ɛ̃  
ayen 1.0	ɛ  j  ɛ̃  n  
ayisyen 1.0	ai yy ii zz yy in 
ayisyen 1.0	ai yy ii zz yy in nn 
ayisyen 1.0	ɛ  j  i  z  j  ɛ̃  
ayisyen 1.0	ɛ  j  i  z  j  ɛ̃  n  
ayiti 1.0	ai yy ii tt ii 
ayiti 1.0	ɛ  j  i  t  i  
-ba 1.0	bb aa 
-ba 1.0	b  ɑ  
ba 1.0	bb aa 
ba 1.0	b  ɑ  
baamas 1.0	bb aa aa mm aa 
baamas 1.0	bb aa aa mm aa zz 
baamas 1.0	b  ɑ  ɑ  m  ɑ  
baamas 1.0	b  ɑ  ɑ  m  ɑ  z  
balan-la 1.0	bb aa ll an ll aa 
balan-la 1.0	b  ɑ  l  ɑ̃  l  ɑ  
balè 1.0	bb aa ll ai 
balè 1.0	b  ɑ  l  ɛ  
balon 1.0	bb aa ll on 
balon 1.0	bb aa ll on nn 
balon 1.0	b  ɑ  l  ɔ̃  
balon 1.0	b  ɑ  l  ɔ̃  n  
ban 1.0	bb an 
ban 1.0	bb an nn 
ban 1.0	b  ɑ̃  
ban 1.0	b  ɑ̃  n  
banalisation 1.0	bb aa nn aa ll ii zz aa ss yy on 
banalisation 1.0	bb aa nn aa ll ii zz aa ss yy on nn 
banalisation 1.0	b  ɑ  n  ɑ  l  i  z  ɑ  s  j  ɔ̃  
banalisation 1.0	b  ɑ  n  ɑ  l  i  z  ɑ  s  j  ɔ̃  n  
bandé 1.0	bb an dd ei 
bandé 1.0	b  ɑ̃  d  e  
banglen 1.0	bb an gg ll ai nn 
banglen 1.0	b  ɑ̃  g  l  ɛ  n  
banjo 1.0	bb an dd jj au 
banjo 1.0	b  ɑ̃  d  ʒ  o  
bank 1.0	bb an kk 
bank 1.0	b  ɑ̃  k  
bann 1.0	bb an nn 
bann 1.0	b  ɑ̃  n  
bannann 1.0	bb aa nn an nn 
